Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N12	37.67	0	1000
A1	N001	N0	N13	40.72	0	1000
A2	N001	N0	N14	40.69	0	1000
A3	N001	N0	N15	37.24	0	1000
A4	N001	N0	N16	39.27	0	1000
A5	N001	N0	N17	46.39	0	1000
A6	N001	N0	N18	44.28	0	1000
A7	N001	N0	N19	49.05	0	1000
A8	N001	N0	N20	44.72	0	1000
A9	N001	N0	N21	31.47	0	1000
A10	N001	N1	N11	112.16	0	1000
A11	N001	N1	N12	31.95	0	7
A12	N001	N1	N19	12.86	0	9
A13	N001	N1	N14	12.94	0	9
A14	N001	N1	N19	11.57	0	7
A15	N001	N1	N19	6.36	0	9
A16	N001	N2	N11	109.42	0	1000
A17	N001	N2	N13	22.07	0	6
A18	N001	N2	N12	14.92	0	5
A19	N001	N2	N19	14.79	0	8
A20	N001	N2	N19	7.08	0	9
A21	N001	N2	N21	14.95	0	6
A22	N001	N2	N18	14.89	0	6
A23	N001	N3	N11	174.95	0	1000
A24	N001	N3	N14	33.55	0	7
A25	N001	N3	N12	19.92	0	7
A26	N001	N3	N18	3.04	0	6
A27	N001	N3	N20	9.3	0	7
A28	N001	N3	N12	8.5	0	5
A29	N001	N4	N11	129.45	0	1000
A30	N001	N4	N15	37.72	0	9
A31	N001	N4	N17	9.73	0	6
A32	N001	N4	N14	7.26	0	9
A33	N001	N4	N13	12.28	0	5
A34	N001	N4	N21	14.28	0	9
A35	N001	N5	N11	138.56	0	1000
A36	N001	N5	N16	39.13	0	8
A37	N001	N5	N17	8.52	0	7
A38	N001	N5	N14	3.7	0	9
A39	N001	N5	N21	6.8	0	9
A40	N001	N5	N21	9.7	0	8
A41	N001	N6	N11	126.58	0	1000
A42	N001	N6	N17	36.61	0	6
A43	N001	N6	N21	17.35	0	9
A44	N001	N6	N19	18.26	0	7
A45	N001	N6	N16	7.3	0	8
A46	N001	N6	N13	10.8	0	9
A47	N001	N7	N11	174.3	0	1000
A48	N001	N7	N18	21.66	0	7
A49	N001	N7	N12	7.2	0	7
A50	N001	N7	N16	18.36	0	8
A51	N001	N7	N15	2.72	0	6
A52	N001	N7	N20	4.51	0	5
A53	N001	N8	N11	184.3	0	1000
A54	N001	N8	N19	38.13	0	6
A55	N001	N8	N16	6.09	0	6
A56	N001	N8	N18	19.11	0	9
A57	N001	N8	N18	10.8	0	7
A58	N001	N8	N20	12.67	0	9
A59	N001	N9	N11	180.83	0	1000
A60	N001	N9	N20	29.96	0	9
A61	N001	N9	N19	11.18	0	6
A62	N001	N9	N21	2.0	0	7
A63	N001	N9	N18	10.78	0	9
A64	N001	N9	N19	13.68	0	7
A65	N001	N10	N11	143.51	0	1000
A66	N001	N10	N21	23.16	0	7
A67	N001	N10	N14	18.33	0	5
A68	N001	N10	N12	9.36	0	6
A69	N001	N10	N18	10.77	0	8
A70	N001	N10	N20	13.22	0	9
A71	N001	N10	N15	16.34	0	9
A72	N001	N11	N23	31.07	0	1000
A73	N001	N11	N24	42.87	0	1000
A74	N001	N11	N25	33.33	0	1000
A75	N001	N11	N26	32.05	0	1000
A76	N001	N11	N27	39.77	0	1000
A77	N001	N11	N28	32.85	0	1000
A78	N001	N11	N29	45.75	0	1000
A79	N001	N11	N30	44.19	0	1000
A80	N001	N11	N31	42.11	0	1000
A81	N001	N11	N32	49.58	0	1000
A82	N001	N12	N22	199.86	0	1000
A83	N001	N12	N23	23.46	0	8
A84	N001	N12	N27	18.75	0	8
A85	N001	N12	N26	1.3	0	7
A86	N001	N12	N32	9.59	0	7
A87	N001	N12	N26	12.08	0	8
A88	N001	N13	N22	140.53	0	1000
A89	N001	N13	N24	20.55	0	5
A90	N001	N13	N26	17.04	0	7
A91	N001	N13	N31	1.49	0	6
A92	N001	N13	N25	2.4	0	5
A93	N001	N13	N27	0.71	0	8
A94	N001	N14	N22	135.09	0	1000
A95	N001	N14	N25	33.68	0	5
A96	N001	N14	N28	19.49	0	9
A97	N001	N14	N32	0.5	0	7
A98	N001	N14	N24	14.72	0	9
A99	N001	N14	N27	5.43	0	8
A100	N001	N15	N22	187.88	0	1000
A101	N001	N15	N26	20.83	0	9
A102	N001	N15	N30	13.79	0	6
A103	N001	N15	N25	0.29	0	7
A104	N001	N15	N29	11.84	0	8
A105	N001	N15	N29	19.51	0	5
A106	N001	N16	N22	101.14	0	1000
A107	N001	N16	N27	21.88	0	9
A108	N001	N16	N26	8.91	0	5
A109	N001	N16	N26	5.91	0	6
A110	N001	N16	N23	3.73	0	7
A111	N001	N16	N26	12.64	0	9
A112	N001	N17	N22	138.79	0	1000
A113	N001	N17	N28	29.19	0	7
A114	N001	N17	N23	13.04	0	7
A115	N001	N17	N23	0.78	0	9
A116	N001	N17	N24	14.6	0	5
A117	N001	N17	N24	14.74	0	5
A118	N001	N18	N22	136.29	0	1000
A119	N001	N18	N29	21.67	0	5
