546	90	5
NodeKey	NetKey	Supply	Demand	Shortage	Overage
N0	N001	10	12	0.0	0.0
N1	N001	22	13	0.0	0.0
N2	N001	25	20	0.0	0.0
N3	N001	19	15	0.0	0.0
N4	N001	22	26	0.0	0.0
N5	N001	20	14	0.0	0.0
N6	N001	18	15	0.0	0.0
N7	N001	22	15	0.0	0.0
N8	N001	15	16	0.0	0.0
N9	N001	21	11	0.0	0.0
N10	N001	25	16	0.0	0.0
N11	N001	16	18	0.0	0.0
N12	N001	18	18	0.0	0.0
N13	N001	23	25	0.0	0.0
N14	N001	21	22	0.0	0.0
N15	N001	21	21	0.0	0.0
N16	N001	20	13	0.0	0.0
N17	N001	19	18	0.0	0.0
N18	N001	25	17	0.0	0.0
N19	N001	28	27	0.0	0.0
N20	N001	22	22	0.0	0.0
N21	N001	27	22	0.0	0.0
N22	N001	21	28	0.0	0.0
N23	N001	27	27	0.0	0.0
N24	N001	11	16	0.0	0.0
N25	N001	19	12	0.0	0.0
N26	N001	26	12	0.0	0.0
N27	N001	22	24	0.0	0.0
N28	N001	28	25	0.0	0.0
N29	N001	13	17	0.0	0.0
N30	N001	20	19	0.0	0.0
N31	N001	24	16	0.0	0.0
N32	N001	22	16	0.0	0.0
N33	N001	10	14	0.0	0.0
N34	N001	27	24	0.0	0.0
N35	N001	28	10	0.0	0.0
N36	N001	19	15	0.0	0.0
N37	N001	27	28	0.0	0.0
N38	N001	10	28	0.0	0.0
N39	N001	14	16	0.0	0.0
N40	N001	25	24	0.0	0.0
N41	N001	16	29	0.0	0.0
N42	N001	21	15	0.0	0.0
N43	N001	15	24	0.0	0.0
N44	N001	22	26	0.0	0.0
N45	N001	24	14	0.0	0.0
N46	N001	23	21	0.0	0.0
N47	N001	21	26	0.0	0.0
N48	N001	11	22	0.0	0.0
N49	N001	10	15	0.0	0.0
N50	N001	29	26	0.0	0.0
N51	N001	10	10	0.0	0.0
N52	N001	16	14	0.0	0.0
N53	N001	12	19	0.0	0.0
N54	N001	13	27	0.0	0.0
N55	N001	29	16	0.0	0.0
N56	N001	13	19	0.0	0.0
N57	N001	28	20	0.0	0.0
N58	N001	18	22	0.0	0.0
N59	N001	20	26	0.0	0.0
N60	N001	12	15	0.0	0.0
N61	N001	23	13	0.0	0.0
N62	N001	14	11	0.0	0.0
N63	N001	12	12	0.0	0.0
N64	N001	21	14	0.0	0.0
N65	N001	15	20	0.0	0.0
N66	N001	12	15	0.0	0.0
N67	N001	22	20	0.0	0.0
N68	N001	29	28	0.0	0.0
N69	N001	26	12	0.0	0.0
N70	N001	15	18	0.0	0.0
N71	N001	18	19	0.0	0.0
N72	N001	27	18	0.0	0.0
N73	N001	12	22	0.0	0.0
N74	N001	19	19	0.0	0.0
N75	N001	16	12	0.0	0.0
N76	N001	10	24	0.0	0.0
N77	N001	12	28	0.0	0.0
N78	N001	27	10	0.0	0.0
N79	N001	15	21	0.0	0.0
N80	N001	16	12	0.0	0.0
N81	N001	27	13	0.0	0.0
N82	N001	28	27	0.0	0.0
N83	N001	27	16	0.0	0.0
N84	N001	26	21	0.0	0.0
N85	N001	12	12	0.0	0.0
N86	N001	10	24	0.0	0.0
N87	N001	24	13	0.0	0.0
N88	N001	20	13	0.0	0.0
N89	N001	16	17	0.0	0.0
N90	N001	10	12	0.0	0.0
N91	N001	0	14	0.0	0.0
N92	N001	0	19	0.0	0.0
N93	N001	0	24	0.0	0.0
N94	N001	0	22	0.0	0.0
N95	N001	0	24	0.0	0.0
N96	N001	0	26	0.0	0.0
N97	N001	0	10	0.0	0.0
N98	N001	0	15	0.0	0.0
N99	N001	0	27	0.0	0.0
N100	N001	0	26	0.0	0.0
N101	N001	0	21	0.0	0.0
N102	N001	0	13	0.0	0.0
N103	N001	0	11	0.0	0.0
N104	N001	0	20	0.0	0.0
N105	N001	0	10	0.0	0.0
N106	N001	0	18	0.0	0.0
N107	N001	0	21	0.0	0.0
N108	N001	0	27	0.0	0.0
N109	N001	0	14	0.0	0.0
N110	N001	0	16	0.0	0.0
N111	N001	0	24	0.0	0.0
N112	N001	0	29	0.0	0.0
N113	N001	0	18	0.0	0.0
N114	N001	0	21	0.0	0.0
N115	N001	0	28	0.0	0.0
N116	N001	0	17	0.0	0.0
N117	N001	0	12	0.0	0.0
N118	N001	0	11	0.0	0.0
N119	N001	0	29	0.0	0.0
N120	N001	0	17	0.0	0.0
N121	N001	0	20	0.0	0.0
N122	N001	0	22	0.0	0.0
N123	N001	0	19	0.0	0.0
N124	N001	0	17	0.0	0.0
N125	N001	0	26	0.0	0.0
N126	N001	0	13	0.0	0.0
N127	N001	0	29	0.0	0.0
N128	N001	0	10	0.0	0.0
N129	N001	0	22	0.0	0.0
N130	N001	0	29	0.0	0.0
N131	N001	0	17	0.0	0.0
N132	N001	0	21	0.0	0.0
N133	N001	0	22	0.0	0.0
N134	N001	0	14	0.0	0.0
N135	N001	0	15	0.0	0.0
N136	N001	0	12	0.0	0.0
N137	N001	0	15	0.0	0.0
N138	N001	0	27	0.0	0.0
N139	N001	0	19	0.0	0.0
N140	N001	0	24	0.0	0.0
N141	N001	0	19	0.0	0.0
N142	N001	0	24	0.0	0.0
N143	N001	0	11	0.0	0.0
N144	N001	0	25	0.0	0.0
N145	N001	0	23	0.0	0.0
N146	N001	0	20	0.0	0.0
N147	N001	0	22	0.0	0.0
N148	N001	0	13	0.0	0.0
N149	N001	0	27	0.0	0.0
N150	N001	0	23	0.0	0.0
N151	N001	0	23	0.0	0.0
N152	N001	0	19	0.0	0.0
N153	N001	0	21	0.0	0.0
N154	N001	0	29	0.0	0.0
N155	N001	0	12	0.0	0.0
N156	N001	0	10	0.0	0.0
N157	N001	0	17	0.0	0.0
N158	N001	0	17	0.0	0.0
N159	N001	0	13	0.0	0.0
N160	N001	0	16	0.0	0.0
N161	N001	0	10	0.0	0.0
N162	N001	0	22	0.0	0.0
N163	N001	0	19	0.0	0.0
N164	N001	0	10	0.0	0.0
N165	N001	0	12	0.0	0.0
N166	N001	0	16	0.0	0.0
N167	N001	0	10	0.0	0.0
N168	N001	0	13	0.0	0.0
N169	N001	0	22	0.0	0.0
N170	N001	0	27	0.0	0.0
N171	N001	0	22	0.0	0.0
N172	N001	0	14	0.0	0.0
N173	N001	0	21	0.0	0.0
N174	N001	0	18	0.0	0.0
N175	N001	0	24	0.0	0.0
N176	N001	0	17	0.0	0.0
N177	N001	0	10	0.0	0.0
N178	N001	0	27	0.0	0.0
N179	N001	0	26	0.0	0.0
N180	N001	0	20	0.0	0.0
N181	N001	0	26	0.0	0.0
N182	N001	0	20	0.0	0.0
N183	N001	0	23	0.0	0.0
N184	N001	0	17	0.0	0.0
N185	N001	0	24	0.0	0.0
N186	N001	0	23	0.0	0.0
N187	N001	0	20	0.0	0.0
N188	N001	0	23	0.0	0.0
N189	N001	0	23	0.0	0.0
N190	N001	0	15	0.0	0.0
N191	N001	0	14	0.0	0.0
N192	N001	0	12	0.0	0.0
N193	N001	0	27	0.0	0.0
N194	N001	0	20	0.0	0.0
N195	N001	0	29	0.0	0.0
N196	N001	0	18	0.0	0.0
N197	N001	0	16	0.0	0.0
N198	N001	0	27	0.0	0.0
N199	N001	0	15	0.0	0.0
N200	N001	0	24	0.0	0.0
N201	N001	0	18	0.0	0.0
N202	N001	0	25	0.0	0.0
N203	N001	0	15	0.0	0.0
N204	N001	0	10	0.0	0.0
N205	N001	0	16	0.0	0.0
N206	N001	0	20	0.0	0.0
N207	N001	0	24	0.0	0.0
N208	N001	0	25	0.0	0.0
N209	N001	0	28	0.0	0.0
N210	N001	0	16	0.0	0.0
N211	N001	0	23	0.0	0.0
N212	N001	0	22	0.0	0.0
N213	N001	0	19	0.0	0.0
N214	N001	0	24	0.0	0.0
N215	N001	0	19	0.0	0.0
N216	N001	0	19	0.0	0.0
N217	N001	0	25	0.0	0.0
N218	N001	0	11	0.0	0.0
N219	N001	0	11	0.0	0.0
N220	N001	0	21	0.0	0.0
N221	N001	0	13	0.0	0.0
N222	N001	0	15	0.0	0.0
N223	N001	0	21	0.0	0.0
N224	N001	0	16	0.0	0.0
N225	N001	0	22	0.0	0.0
N226	N001	0	10	0.0	0.0
N227	N001	0	23	0.0	0.0
N228	N001	0	18	0.0	0.0
N229	N001	0	13	0.0	0.0
N230	N001	0	29	0.0	0.0
N231	N001	0	21	0.0	0.0
N232	N001	0	24	0.0	0.0
N233	N001	0	15	0.0	0.0
N234	N001	0	13	0.0	0.0
N235	N001	0	14	0.0	0.0
N236	N001	0	15	0.0	0.0
N237	N001	0	15	0.0	0.0
N238	N001	0	10	0.0	0.0
N239	N001	0	12	0.0	0.0
N240	N001	0	14	0.0	0.0
N241	N001	0	12	0.0	0.0
N242	N001	0	12	0.0	0.0
N243	N001	0	12	0.0	0.0
N244	N001	0	22	0.0	0.0
N245	N001	0	15	0.0	0.0
N246	N001	0	20	0.0	0.0
N247	N001	0	10	0.0	0.0
N248	N001	0	22	0.0	0.0
N249	N001	0	14	0.0	0.0
N250	N001	0	16	0.0	0.0
N251	N001	0	11	0.0	0.0
N252	N001	0	12	0.0	0.0
N253	N001	0	24	0.0	0.0
N254	N001	0	13	0.0	0.0
N255	N001	0	15	0.0	0.0
N256	N001	0	26	0.0	0.0
N257	N001	0	26	0.0	0.0
N258	N001	0	19	0.0	0.0
N259	N001	0	23	0.0	0.0
N260	N001	0	28	0.0	0.0
N261	N001	0	10	0.0	0.0
N262	N001	0	15	0.0	0.0
N263	N001	0	17	0.0	0.0
N264	N001	0	15	0.0	0.0
N265	N001	0	24	0.0	0.0
N266	N001	0	29	0.0	0.0
N267	N001	0	21	0.0	0.0
N268	N001	0	28	0.0	0.0
N269	N001	0	21	0.0	0.0
N270	N001	0	27	0.0	0.0
N271	N001	0	13	0.0	0.0
N272	N001	0	15	0.0	0.0
N273	N001	0	29	0.0	0.0
N274	N001	0	10	0.0	0.0
N275	N001	0	24	0.0	0.0
N276	N001	0	22	0.0	0.0
N277	N001	0	25	0.0	0.0
N278	N001	0	17	0.0	0.0
N279	N001	0	22	0.0	0.0
N280	N001	0	13	0.0	0.0
N281	N001	0	12	0.0	0.0
N282	N001	0	18	0.0	0.0
N283	N001	0	27	0.0	0.0
N284	N001	0	27	0.0	0.0
N285	N001	0	16	0.0	0.0
N286	N001	0	16	0.0	0.0
N287	N001	0	29	0.0	0.0
N288	N001	0	10	0.0	0.0
N289	N001	0	22	0.0	0.0
N290	N001	0	16	0.0	0.0
N291	N001	0	16	0.0	0.0
N292	N001	0	14	0.0	0.0
N293	N001	0	24	0.0	0.0
N294	N001	0	14	0.0	0.0
N295	N001	0	11	0.0	0.0
N296	N001	0	14	0.0	0.0
N297	N001	0	23	0.0	0.0
N298	N001	0	19	0.0	0.0
N299	N001	0	10	0.0	0.0
N300	N001	0	16	0.0	0.0
N301	N001	0	18	0.0	0.0
N302	N001	0	28	0.0	0.0
N303	N001	0	14	0.0	0.0
N304	N001	0	22	0.0	0.0
N305	N001	0	10	0.0	0.0
N306	N001	0	16	0.0	0.0
N307	N001	0	24	0.0	0.0
N308	N001	0	17	0.0	0.0
N309	N001	0	19	0.0	0.0
N310	N001	0	28	0.0	0.0
N311	N001	0	27	0.0	0.0
N312	N001	0	28	0.0	0.0
N313	N001	0	15	0.0	0.0
N314	N001	0	11	0.0	0.0
N315	N001	0	22	0.0	0.0
N316	N001	0	17	0.0	0.0
N317	N001	0	14	0.0	0.0
N318	N001	0	18	0.0	0.0
N319	N001	0	26	0.0	0.0
N320	N001	0	13	0.0	0.0
N321	N001	0	15	0.0	0.0
N322	N001	0	29	0.0	0.0
N323	N001	0	11	0.0	0.0
N324	N001	0	11	0.0	0.0
N325	N001	0	23	0.0	0.0
N326	N001	0	29	0.0	0.0
N327	N001	0	24	0.0	0.0
N328	N001	0	20	0.0	0.0
N329	N001	0	10	0.0	0.0
N330	N001	0	11	0.0	0.0
