Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N22	3.6	0	1000
A1	N001	N0	N23	3.6	0	1000
A2	N001	N0	N24	3.26	0	1000
A3	N001	N0	N25	3.04	0	1000
A4	N001	N0	N26	3.37	0	1000
A5	N001	N0	N27	4.79	0	1000
A6	N001	N0	N28	3.05	0	1000
A7	N001	N0	N29	4.7	0	1000
A8	N001	N0	N30	3.03	0	1000
A9	N001	N0	N31	4.14	0	1000
A10	N001	N0	N32	3.35	0	1000
A11	N001	N0	N33	4.7	0	1000
A12	N001	N0	N34	4.6	0	1000
A13	N001	N0	N35	3.83	0	1000
A14	N001	N0	N36	4.17	0	1000
A15	N001	N0	N37	4.12	0	1000
A16	N001	N0	N38	3.58	0	1000
A17	N001	N0	N39	3.0	0	1000
A18	N001	N0	N40	4.92	0	1000
A19	N001	N0	N41	3.63	0	1000
A20	N001	N1	N21	75.32	0	1000
A21	N001	N1	N22	2.47	0	6
A22	N001	N1	N34	2.74	0	6
A23	N001	N1	N33	0.01	0	6
A24	N001	N1	N33	3.79	0	5
A25	N001	N1	N41	0.42	0	7
A26	N001	N1	N25	2.24	0	5
A27	N001	N1	N31	2.1	0	6
A28	N001	N1	N23	0.66	0	9
A29	N001	N1	N30	3.04	0	6
A30	N001	N1	N34	3.59	0	5
A31	N001	N1	N30	3.37	0	9
A32	N001	N1	N36	0.32	0	9
A33	N001	N2	N21	81.04	0	1000
A34	N001	N2	N23	3.23	0	5
A35	N001	N2	N31	0.82	0	5
A36	N001	N2	N26	2.71	0	5
A37	N001	N2	N32	0.4	0	7
A38	N001	N2	N31	3.38	0	9
A39	N001	N2	N33	0.34	0	9
A40	N001	N2	N40	2.82	0	7
A41	N001	N2	N39	3.3	0	7
A42	N001	N2	N32	2.51	0	6
A43	N001	N2	N28	3.94	0	7
A44	N001	N2	N25	3.49	0	8
A45	N001	N2	N39	2.73	0	7
A46	N001	N3	N21	88.93	0	1000
A47	N001	N3	N24	2.82	0	8
A48	N001	N3	N41	0.52	0	7
A49	N001	N3	N36	3.24	0	9
A50	N001	N3	N41	0.13	0	8
A51	N001	N3	N31	1.34	0	9
A52	N001	N3	N35	1.74	0	7
A53	N001	N3	N25	2.06	0	8
A54	N001	N3	N34	3.3	0	5
A55	N001	N3	N26	2.42	0	9
A56	N001	N3	N25	0.03	0	7
A57	N001	N3	N34	1.25	0	5
A58	N001	N4	N21	72.38	0	1000
A59	N001	N4	N25	2.18	0	5
A60	N001	N4	N34	2.91	0	8
A61	N001	N4	N28	2.05	0	5
A62	N001	N4	N24	1.5	0	6
A63	N001	N4	N32	2.47	0	5
A64	N001	N4	N38	1.79	0	8
A65	N001	N4	N31	0.11	0	8
A66	N001	N4	N26	3.98	0	6
A67	N001	N4	N30	3.42	0	9
A68	N001	N5	N21	92.32	0	1000
A69	N001	N5	N26	2.15	0	8
A70	N001	N5	N27	2.87	0	9
A71	N001	N5	N30	1.8	0	7
A72	N001	N5	N32	1.38	0	7
A73	N001	N5	N29	1.12	0	8
A74	N001	N5	N34	0.29	0	7
A75	N001	N5	N24	0.62	0	5
A76	N001	N5	N38	1.49	0	5
A77	N001	N5	N41	3.81	0	8
A78	N001	N5	N39	1.24	0	9
A79	N001	N6	N21	62.08	0	1000
A80	N001	N6	N27	2.91	0	5
A81	N001	N6	N26	3.61	0	6
A82	N001	N6	N35	2.57	0	7
A83	N001	N6	N29	1.65	0	5
A84	N001	N6	N30	2.07	0	6
A85	N001	N6	N28	2.01	0	8
A86	N001	N6	N28	0.14	0	5
A87	N001	N6	N35	2.9	0	5
A88	N001	N6	N33	2.26	0	9
A89	N001	N6	N41	0.46	0	7
A90	N001	N6	N35	0.63	0	9
A91	N001	N7	N21	57.89	0	1000
A92	N001	N7	N28	2.45	0	7
A93	N001	N7	N23	1.2	0	7
A94	N001	N7	N35	3.56	0	9
A95	N001	N7	N34	1.14	0	5
A96	N001	N7	N32	1.48	0	6
A97	N001	N7	N39	3.17	0	9
A98	N001	N7	N31	0.94	0	6
A99	N001	N7	N30	3.89	0	7
A100	N001	N7	N34	2.85	0	7
A101	N001	N7	N27	2.15	0	5
A102	N001	N8	N21	79.9	0	1000
A103	N001	N8	N29	2.45	0	7
A104	N001	N8	N31	2.36	0	5
A105	N001	N8	N35	3.77	0	9
A106	N001	N8	N24	3.09	0	5
A107	N001	N8	N33	3.9	0	5
A108	N001	N8	N28	2.11	0	5
A109	N001	N8	N25	3.13	0	5
A110	N001	N8	N39	3.39	0	5
A111	N001	N8	N24	2.94	0	9
A112	N001	N9	N21	79.48	0	1000
A113	N001	N9	N30	2.46	0	8
A114	N001	N9	N37	3.25	0	9
A115	N001	N9	N33	3.77	0	9
A116	N001	N9	N22	1.66	0	6
A117	N001	N9	N25	2.55	0	8
A118	N001	N9	N31	2.43	0	7
A119	N001	N9	N24	0.08	0	5
A120	N001	N9	N35	3.7	0	7
A121	N001	N9	N32	0.39	0	6
A122	N001	N9	N23	2.89	0	5
A123	N001	N9	N28	2.99	0	6
A124	N001	N10	N21	76.84	0	1000
A125	N001	N10	N31	2.46	0	7
A126	N001	N10	N29	0.42	0	5
A127	N001	N10	N27	1.26	0	8
A128	N001	N10	N35	1.91	0	6
A129	N001	N10	N36	2.32	0	5
A130	N001	N10	N40	0.23	0	5
A131	N001	N10	N36	2.76	0	8
A132	N001	N10	N39	0.12	0	9
A133	N001	N10	N34	0.91	0	7
A134	N001	N10	N25	2.83	0	5
A135	N001	N11	N21	52.75	0	1000
A136	N001	N11	N32	3.63	0	9
A137	N001	N11	N35	0.09	0	7
A138	N001	N11	N31	2.02	0	6
A139	N001	N11	N26	2.22	0	8
A140	N001	N11	N34	3.95	0	7
A141	N001	N11	N34	3.78	0	5
A142	N001	N11	N38	0.08	0	8
A143	N001	N11	N38	0.53	0	9
A144	N001	N11	N34	3.22	0	6
A145	N001	N11	N30	1.81	0	5
A146	N001	N11	N27	3.03	0	9
A147	N001	N11	N28	0.24	0	7
A148	N001	N12	N21	95.68	0	1000
A149	N001	N12	N33	3.2	0	9
A150	N001	N12	N38	2.12	0	5
A151	N001	N12	N38	3.54	0	7
A152	N001	N12	N23	0.44	0	7
A153	N001	N12	N32	3.68	0	9
A154	N001	N12	N31	0.72	0	9
A155	N001	N12	N22	0.07	0	8
A156	N001	N12	N37	0.06	0	7
A157	N001	N12	N27	3.02	0	6
A158	N001	N12	N32	0.15	0	9
A159	N001	N12	N36	0.02	0	8
A160	N001	N12	N28	0.91	0	8
A161	N001	N13	N21	86.78	0	1000
A162	N001	N13	N34	2.95	0	8
A163	N001	N13	N31	1.86	0	6
A164	N001	N13	N24	1.54	0	5
A165	N001	N13	N37	2.16	0	5
A166	N001	N13	N41	0.19	0	5
A167	N001	N13	N39	2.35	0	9
A168	N001	N13	N33	0.14	0	8
A169	N001	N13	N39	1.0	0	8
A170	N001	N13	N24	1.82	0	9
A171	N001	N13	N26	3.54	0	8
A172	N001	N14	N21	85.8	0	1000
A173	N001	N14	N35	3.07	0	5
A174	N001	N14	N39	0.33	0	6
A175	N001	N14	N40	2.01	0	5
A176	N001	N14	N26	3.45	0	9
A177	N001	N14	N36	0.79	0	8
A178	N001	N14	N36	1.93	0	7
A179	N001	N14	N38	0.29	0	9
A180	N001	N14	N33	0.68	0	8
A181	N001	N14	N34	2.43	0	5
A182	N001	N14	N28	2.42	0	8
A183	N001	N15	N21	96.42	0	1000
A184	N001	N15	N36	2.54	0	9
A185	N001	N15	N31	3.44	0	9
A186	N001	N15	N23	3.8	0	8
A187	N001	N15	N29	1.12	0	7
A188	N001	N15	N39	3.48	0	9
A189	N001	N15	N38	1.04	0	7
A190	N001	N15	N35	0.11	0	8
A191	N001	N15	N27	1.26	0	7
A192	N001	N15	N23	2.97	0	9
A193	N001	N15	N40	2.96	0	8
A194	N001	N15	N34	0.64	0	9
A195	N001	N15	N37	0.71	0	5
A196	N001	N16	N21	75.56	0	1000
A197	N001	N16	N37	3.78	0	6
A198	N001	N16	N33	3.15	0	7
A199	N001	N16	N38	2.18	0	7
A200	N001	N16	N41	1.91	0	8
A201	N001	N16	N38	2.78	0	5
A202	N001	N16	N34	3.25	0	9
A203	N001	N16	N22	3.5	0	9
A204	N001	N16	N36	1.97	0	5
A205	N001	N16	N32	2.95	0	6
A206	N001	N16	N22	1.39	0	8
A207	N001	N16	N34	0.49	0	8
A208	N001	N17	N21	96.87	0	1000
A209	N001	N17	N38	3.64	0	6
A210	N001	N17	N27	3.23	0	9
A211	N001	N17	N27	0.68	0	8
A212	N001	N17	N29	2.68	0	5
A213	N001	N17	N31	0.51	0	7
A214	N001	N17	N35	2.63	0	8
A215	N001	N17	N40	1.24	0	5
A216	N001	N17	N26	0.41	0	8
A217	N001	N17	N41	0.02	0	9
A218	N001	N17	N27	3.5	0	9
A219	N001	N17	N34	0.36	0	6
A220	N001	N18	N21	54.16	0	1000
A221	N001	N18	N39	2.54	0	5
A222	N001	N18	N35	3.23	0	9
A223	N001	N18	N38	3.56	0	7
A224	N001	N18	N33	3.17	0	5
A225	N001	N18	N28	2.55	0	9
A226	N001	N18	N25	0.71	0	6
A227	N001	N18	N30	3.89	0	5
A228	N001	N18	N27	0.21	0	8
A229	N001	N18	N27	2.94	0	9
A230	N001	N18	N32	0.95	0	5
A231	N001	N19	N21	71.77	0	1000
A232	N001	N19	N40	2.04	0	8
A233	N001	N19	N38	0.16	0	5
A234	N001	N19	N39	1.83	0	7
A235	N001	N19	N25	2.27	0	7
A236	N001	N19	N35	1.66	0	6
A237	N001	N19	N28	0.06	0	8
A238	N001	N19	N23	1.73	0	8
A239	N001	N19	N37	0.08	0	9
A240	N001	N19	N35	0.47	0	8
A241	N001	N19	N28	3.93	0	8
A242	N001	N19	N22	0.84	0	7
A243	N001	N19	N28	3.5	0	7
A244	N001	N20	N21	83.54	0	1000
A245	N001	N20	N41	3.21	0	6
A246	N001	N20	N35	2.18	0	7
A247	N001	N20	N22	1.18	0	5
A248	N001	N20	N23	2.52	0	7
A249	N001	N20	N26	2.17	0	7
A250	N001	N20	N25	0.32	0	9
A251	N001	N20	N39	3.58	0	8
A252	N001	N20	N36	1.49	0	7
A253	N001	N20	N26	0.68	0	5
A254	N001	N20	N25	0.32	0	6
A255	N001	N20	N22	1.52	0	7
A256	N001	N21	N43	4.19	0	1000
A257	N001	N21	N44	3.05	0	1000
A258	N001	N21	N45	4.15	0	1000
A259	N001	N21	N46	3.52	0	1000
A260	N001	N21	N47	3.61	0	1000
A261	N001	N21	N48	4.12	0	1000
A262	N001	N21	N49	4.23	0	1000
A263	N001	N21	N50	4.42	0	1000
A264	N001	N21	N51	3.08	0	1000
A265	N001	N21	N52	4.08	0	1000
A266	N001	N21	N53	4.44	0	1000
