
1	45.0	45.0	45.0		45.0	0.23	0.04	0.09	0.09

1	40.5	40.5	40.5	40.5	0.26	0.03	0.26	0.12

1	45.0	45.0	45.0	45.0	0.21	0.13	0.56	0.06

1	45.0	45.0	45.0	45.0	0.85	0.12	0.34	0.09

1	45.0	45.0	45.0	45.0	0.24	0.2	0.67	0.1

1	45.0	45.0	45.0	45.0	0.22	0.15	0.57	0.36

1	45.0	45.0	45.0	45.0	0.24	0.17	0.5	0.39

1	45.0	45.0	45.0	45.0	0.23	0.16	0.54	0.38

1	45.0	45.0	45.0	45.0	0.23	0.12	0.35	0.35

1	45.0	45.0	45.0	45.0	0.2	0.12	0.37	0.35

1	45.0	45.0	45.0	45.0	0.24	0.12	0.33	0.35

1	0.0	-2.147483648E7	-2.147483648E7
1	45.0	45.0	45.0
1	45.0	45.0	45.0	45.0	0.93	0.19	0.32	0.07

1	45.0	45.0	45.0	45.0	1.03	0.18	0.25	0.07

1	45.0
1	45.0
1	-2.147483648E7
1	45.0	45.0
1	45.0
1	45.0
1	45.0	45.0
1	45.0	45.0	45.0	45.0		45.00.67	0.19	0.2	0.09	0.1

1	0.0	0.0	0.0	0.0	5889.6	0.0	0.0	0.0	0.0	0.78
2	5889.6	5889.6	5889.6	5889.6	8723.13	0.0	0.0	0.0	0.0	0.48
3	8723.13	8723.13	8723.13	8723.13	5059.44	0.0	0.0	0.0	0.0	0.74
4	5059.44	5059.44	5059.44	5059.44	4958.98	0.0	0.0	0.0	0.0	0.54
5	4958.98	4958.98	4958.98	4958.98	4034.86	0.0	0.0	0.0	0.0	2.0
6	4034.86	4034.86	4034.86	4034.86	4398.64	0.0	0.0	0.0	0.0	2.22
7	4398.64	4398.64	4398.64	4398.64	4923.79	0.0	0.0	0.0	0.0	2.52
8	4923.79	4923.79	4923.79	4923.79	4389.76	0.0	0.0	0.0	0.0	0.9
9	4389.76	4389.76	4389.76	4389.76
1	6355.89	6355.89	6355.89	6355.89	6355.89	0.28	0.69	0.16	0.22	1.38
2	5968.37	5968.37	5968.37	5968.37	5968.37	0.02	0.3	0.24	0.11	1.39
3	3130.9	3130.9	3130.0	3130.9	3130.0	0.03	0.36	0.18	0.32	0.57
4	4775.61	4773.67	4773.67	4772.28	4773.67	0.08	0.43	0.17	0.41	0.54
5	5188.33	5188.33	5188.33	5183.93	5188.33	0.01	0.41	0.2	0.42	1.84
6	5066.54	5064.54	5062.36	5062.36	5066.54	0.01	0.55	0.33	0.38	2.28

1	7388.4	7151.89	7021.3	7151.89	7021.3	0.24	0.67	0.24	0.21	0.38
2	4466.77	4429.41	4318.0	4429.41	4318.0	0.02	0.52	0.21	0.33	0.68
