Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N15	36.09	0	1000
A1	N001	N0	N16	38.53	0	1000
A2	N001	N0	N17	40.55	0	1000
A3	N001	N0	N18	38.31	0	1000
A4	N001	N0	N19	37.28	0	1000
A5	N001	N0	N20	30.75	0	1000
A6	N001	N0	N21	38.26	0	1000
A7	N001	N0	N22	41.4	0	1000
A8	N001	N0	N23	32.85	0	1000
A9	N001	N0	N24	39.47	0	1000
A10	N001	N0	N25	34.15	0	1000
A11	N001	N0	N26	48.28	0	1000
A12	N001	N0	N27	43.75	0	1000
A13	N001	N1	N14	127.32	0	1000
A14	N001	N1	N15	30.22	0	9
A15	N001	N1	N16	7.84	0	5
A16	N001	N1	N20	4.95	0	6
A17	N001	N1	N18	7.07	0	6
A18	N001	N1	N26	5.24	0	6
A19	N001	N1	N27	0.33	0	9
A20	N001	N2	N14	166.86	0	1000
A21	N001	N2	N16	31.46	0	8
A22	N001	N2	N23	1.19	0	5
A23	N001	N2	N27	6.79	0	5
A24	N001	N2	N17	16.66	0	7
A25	N001	N2	N15	4.15	0	8
A26	N001	N2	N21	7.43	0	5
A27	N001	N2	N21	10.96	0	8
A28	N001	N3	N14	173.27	0	1000
A29	N001	N3	N17	20.26	0	8
A30	N001	N3	N21	17.6	0	9
A31	N001	N3	N19	2.71	0	8
A32	N001	N3	N22	12.44	0	7
A33	N001	N3	N20	14.93	0	9
A34	N001	N3	N20	19.72	0	7
A35	N001	N3	N24	10.55	0	6
A36	N001	N3	N16	14.89	0	5
A37	N001	N4	N14	189.66	0	1000
A38	N001	N4	N18	23.86	0	8
A39	N001	N4	N21	8.26	0	6
A40	N001	N4	N17	5.21	0	9
A41	N001	N4	N26	17.79	0	8
A42	N001	N4	N20	14.65	0	6
A43	N001	N4	N16	0.14	0	5
A44	N001	N5	N14	105.3	0	1000
A45	N001	N5	N19	30.66	0	5
A46	N001	N5	N23	1.58	0	8
A47	N001	N5	N23	9.34	0	8
A48	N001	N5	N17	12.48	0	7
A49	N001	N5	N22	3.46	0	7
A50	N001	N5	N16	16.76	0	5
A51	N001	N5	N27	3.06	0	6
A52	N001	N6	N14	195.64	0	1000
A53	N001	N6	N20	21.74	0	9
A54	N001	N6	N27	11.6	0	8
A55	N001	N6	N15	9.86	0	6
A56	N001	N6	N27	14.89	0	6
A57	N001	N6	N19	12.11	0	5
A58	N001	N6	N15	16.02	0	5
A59	N001	N7	N14	139.05	0	1000
A60	N001	N7	N21	33.33	0	7
A61	N001	N7	N17	4.27	0	5
A62	N001	N7	N22	7.87	0	6
A63	N001	N7	N25	7.74	0	9
A64	N001	N7	N25	10.8	0	7
A65	N001	N7	N25	0.62	0	6
A66	N001	N7	N26	5.06	0	9
A67	N001	N7	N22	14.0	0	9
A68	N001	N8	N14	185.37	0	1000
A69	N001	N8	N22	31.5	0	9
A70	N001	N8	N16	11.02	0	8
A71	N001	N8	N25	11.65	0	8
A72	N001	N8	N23	2.53	0	5
A73	N001	N8	N25	18.58	0	8
A74	N001	N8	N27	5.05	0	6
A75	N001	N8	N27	13.4	0	7
A76	N001	N8	N20	19.1	0	6
A77	N001	N9	N14	148.38	0	1000
A78	N001	N9	N23	20.45	0	6
A79	N001	N9	N19	0.21	0	8
A80	N001	N9	N21	3.66	0	5
A81	N001	N9	N25	6.64	0	9
A82	N001	N9	N17	10.68	0	8
A83	N001	N9	N26	9.34	0	5
A84	N001	N9	N17	6.2	0	6
A85	N001	N9	N26	10.08	0	5
A86	N001	N10	N14	188.31	0	1000
