Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N20	4.69	0	1000
A1	N001	N0	N21	4.81	0	1000
A2	N001	N0	N22	4.38	0	1000
A3	N001	N0	N23	3.23	0	1000
A4	N001	N0	N24	4.49	0	1000
A5	N001	N0	N25	3.11	0	1000
A6	N001	N0	N26	4.19	0	1000
A7	N001	N0	N27	3.5	0	1000
A8	N001	N0	N28	3.94	0	1000
A9	N001	N0	N29	3.27	0	1000
A10	N001	N0	N30	3.55	0	1000
A11	N001	N0	N31	4.57	0	1000
A12	N001	N0	N32	3.9	0	1000
A13	N001	N0	N33	3.62	0	1000
A14	N001	N0	N34	4.91	0	1000
A15	N001	N0	N35	3.05	0	1000
A16	N001	N0	N36	3.35	0	1000
A17	N001	N0	N37	3.27	0	1000
A18	N001	N1	N19	47.92	0	1000
A19	N001	N1	N20	2.31	0	4
A20	N001	N1	N26	1.57	0	6
A21	N001	N1	N34	0.05	0	4
A22	N001	N1	N35	0.94	0	5
A23	N001	N1	N31	1.1	0	5
A24	N001	N1	N23	0.81	0	4
A25	N001	N1	N34	1.52	0	4
A26	N001	N1	N22	1.14	0	4
A27	N001	N1	N31	0.27	0	6
A28	N001	N2	N19	39.37	0	1000
A29	N001	N2	N21	2.51	0	6
A30	N001	N2	N27	1.69	0	3
A31	N001	N2	N28	1.32	0	5
A32	N001	N2	N26	0.92	0	3
A33	N001	N2	N27	1.67	0	3
A34	N001	N2	N32	0.13	0	3
A35	N001	N2	N29	1.03	0	4
A36	N001	N2	N28	0.6	0	5
A37	N001	N2	N36	0.34	0	4
A38	N001	N2	N34	0.63	0	5
A39	N001	N3	N19	40.52	0	1000
A40	N001	N3	N22	2.48	0	6
A41	N001	N3	N36	0.03	0	3
A42	N001	N3	N26	1.83	0	5
A43	N001	N3	N27	1.5	0	4
A44	N001	N3	N30	1.41	0	5
A45	N001	N3	N26	1.32	0	3
A46	N001	N3	N34	1.24	0	4
A47	N001	N3	N25	0.47	0	5
A48	N001	N3	N24	0.53	0	4
A49	N001	N3	N24	0.35	0	6
A50	N001	N3	N36	1.06	0	4
