Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N5	47.8	0	1000
A1	N001	N0	N6	42.24	0	1000
A2	N001	N0	N7	48.72	0	1000
A3	N001	N1	N4	41.79	0	1000
A4	N001	N1	N5	2	0	1000
A5	N001	N1	N6	1	0	1000
A6	N001	N2	N4	100	0	1000
A7	N001	N2	N5	3	0	1000
A8	N001	N2	N6	3	0	1000
A9	N001	N2	N7	4	0	1000
A10	N001	N3	N6	5	0	1000
A11	N001	N3	N7	3	0	1000
A12	N001	N4	N10	50.0	0	1000
A13	N001	N4	N11	43.48	0	1000
A14	N001	N5	N8	43.85	0	1000
A15	N001	N5	N9	1	0	1000
A16	N001	N5	N10	3	0	1000
A17	N001	N6	N9	3	0	1000
A18	N001	N6	N10	2	0	1000
A19	N001	N6	N11	1	0	1000
A20	N001	N7	N10	3	0	1000
A21	N001	N7	N11	2	0	1000
A22	N001	N9	N12	1	0	1.00001
A23	N001	N9	N13	2	0	1.00002
A24	N001	N9	N14	4	0	1.00003
A25	N001	N9	N15	10	0	9
A26	N001	N10	N12	1	0	1.00002
A27	N001	N10	N13	4	0	3.00001
A28	N001	N10	N14	5	0	1.00003
A29	N001	N10	N15	8	0	9
A30	N001	N11	N12	2	0	1.00001
A31	N001	N11	N13	3	0	1.00002
A32	N001	N11	N14	6	0	2.00003
A33	N001	N11	N15	7	0	9
