Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N16	4.98	0	1000
A1	N001	N0	N17	4.93	0	1000
A2	N001	N0	N18	3.85	0	1000
A3	N001	N0	N19	4.68	0	1000
A4	N001	N0	N20	4.25	0	1000
A5	N001	N0	N21	4.09	0	1000
A6	N001	N0	N22	4.92	0	1000
A7	N001	N0	N23	4.52	0	1000
A8	N001	N0	N24	4.71	0	1000
A9	N001	N0	N25	3.95	0	1000
A10	N001	N0	N26	4.94	0	1000
A11	N001	N0	N27	3.98	0	1000
A12	N001	N0	N28	4.7	0	1000
A13	N001	N0	N29	3.56	0	1000
A14	N001	N1	N15	47.25	0	1000
A15	N001	N1	N16	2.06	0	3
A16	N001	N1	N29	1.22	0	6
A17	N001	N1	N26	1.25	0	5
A18	N001	N1	N28	1.36	0	6
A19	N001	N1	N20	0.7	0	3
A20	N001	N1	N17	0.75	0	5
A21	N001	N1	N29	1.38	0	5
A22	N001	N2	N15	49.29	0	1000
A23	N001	N2	N17	3.72	0	3
A24	N001	N2	N26	1.7	0	6
A25	N001	N2	N29	1.15	0	4
A26	N001	N2	N20	0.32	0	5
A27	N001	N2	N22	0.61	0	4
A28	N001	N2	N24	0.56	0	3
A29	N001	N2	N28	0.47	0	5
A30	N001	N2	N28	1.24	0	4
A31	N001	N3	N15	41.41	0	1000
A32	N001	N3	N18	2.07	0	3
A33	N001	N3	N28	1.71	0	6
A34	N001	N3	N16	0.82	0	4
A35	N001	N3	N17	1.95	0	6
A36	N001	N3	N19	1.34	0	3
A37	N001	N3	N19	1.33	0	4
A38	N001	N3	N25	0.39	0	6
A39	N001	N4	N15	48.03	0	1000
A40	N001	N4	N19	2.86	0	3
A41	N001	N4	N21	1.3	0	3
A42	N001	N4	N27	1.02	0	5
A43	N001	N4	N22	1.11	0	5
A44	N001	N4	N25	0.15	0	4
A45	N001	N4	N21	1.88	0	5
A46	N001	N4	N29	1.28	0	6
A47	N001	N4	N27	1.39	0	4
A48	N001	N5	N15	49.95	0	1000
A49	N001	N5	N20	2.06	0	5
A50	N001	N5	N28	1.56	0	5
A51	N001	N5	N25	1.81	0	4
A52	N001	N5	N23	0.89	0	3
A53	N001	N5	N19	1.34	0	5
A54	N001	N5	N22	1.7	0	3
A55	N001	N6	N15	31.11	0	1000
A56	N001	N6	N21	3.94	0	4
A57	N001	N6	N22	1.11	0	4
A58	N001	N6	N17	0.1	0	5
A59	N001	N6	N20	1.0	0	5
A60	N001	N6	N26	0.27	0	6
A61	N001	N6	N17	1.78	0	3
